price;city;region;district;metro;address;area;floor;max_floor;rooms;url
23 115 038 ₽;Санкт-Петербург;р-н Фрунзенский;Волковское;м. Обводный канал;Витебский Парк ЖК;84,8;3;12;3;https://spb.cian.ru/sale/flat/325759538/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
10 200 000 ₽;Санкт-Петербург;р-н Приморский;Юнтолово;м. Комендантский проспект;Планерная улица, 97к2;38,9;12;13;1;https://spb.cian.ru/sale/flat/323462690/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 550 000 ₽;Санкт-Петербург;р-н Выборгский;мкр. Парголово;м. Озерки;улица Ленина, 38;48,9;2;2;2;https://spb.cian.ru/sale/flat/308750500/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
28 114 301 ₽;Санкт-Петербург;р-н Василеостровский;Гавань;м. Горный институт;;62,47;3;9;2;https://spb.cian.ru/sale/flat/325558668/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 100 000 ₽;Санкт-Петербург;р-н Адмиралтейский;Семёновский;м. Пушкинская;Подъездной переулок, 13;21,1;4;5;Студия;https://spb.cian.ru/sale/flat/321408721/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 500 000 ₽;Санкт-Петербург;р-н Московский;Новоизмайловское;м. Московская;Новоизмайловский проспект, 81;45;3;5;2;https://spb.cian.ru/sale/flat/326387873/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
14 972 807 ₽;Санкт-Петербург;р-н Невский;№ 54;м. Улица Дыбенко;;42,66;14;18;2;https://spb.cian.ru/sale/flat/318139194/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 250 000 ₽;Санкт-Петербург;р-н Московский;Пулковский меридиан;м. Московская;Пулковский Меридиан муниципальный округ;25,8;4;5;Студия;https://spb.cian.ru/sale/flat/323464864/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 500 000 ₽;Санкт-Петербург;р-н Невский;Оккервиль;м. Проспект Большевиков;улица Коллонтай, 47К5;29;4;9;1;https://spb.cian.ru/sale/flat/323171345/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
24 506 160 ₽;Санкт-Петербург;р-н Курортный;мкр. Зеленогорск;;;60,36;2;4;2;https://spb.cian.ru/sale/flat/305427105/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
28 500 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;Корпусная улица, 9;66,7;5;14;2;https://spb.cian.ru/sale/flat/326256807/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
4 400 000 ₽;Санкт-Петербург;р-н Красносельский;мкр. Красное Село;м. Юго-Западная;улица Освобождения, 32;32,4;5;5;1;https://spb.cian.ru/sale/flat/326318250/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 168 888 ₽;Санкт-Петербург;р-н Невский;Невский;м. Улица Дыбенко;улица Архивная, 3к1;45,8;2;11;2;https://spb.cian.ru/sale/flat/327078806/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
19 990 000 ₽;Санкт-Петербург;р-н Выборгский;Шувалово-Озерки;м. Проспект Просвещения;Струны ЖК, 1;68,2;6;23;2;https://spb.cian.ru/sale/flat/325485748/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
15 500 000 ₽;Санкт-Петербург;р-н Пушкинский;мкр. Пушкин;м. Купчино;улица Радищева, 2/10;72,6;3;3;2;https://spb.cian.ru/sale/flat/311678716/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
192 560 870 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Спортивная;Ремесленная улица, 17литЗ;161,24;5;8;4;https://spb.cian.ru/sale/flat/327096257/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
18 990 000 ₽;Санкт-Петербург;р-н Выборгский;Шувалово-Озерки;м. Проспект Просвещения;Струны ЖК, 3;57,5;14;16;2;https://spb.cian.ru/sale/flat/325981259/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
15 800 000 ₽;Санкт-Петербург;р-н Московский;Новоизмайловское;м. Электросила;Кузнецовская улица, 22;69,9;5;9;3;https://spb.cian.ru/sale/flat/327238379/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
31 438 400 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;11-я Васильевского острова линия, 56;80,2;6;7;1;https://spb.cian.ru/sale/flat/325166621/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 300 000 ₽;Санкт-Петербург;р-н Красносельский;Сосновая поляна;м. Проспект Ветеранов;проспект Буденного, 23к3;23,8;4;8;Студия;https://spb.cian.ru/sale/flat/310459471/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 700 000 ₽;Санкт-Петербург;р-н Фрунзенский;№ 75;м. Дунайская;Дунайский проспект, 53К2;47,7;4;12;2;https://spb.cian.ru/sale/flat/323967073/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
17 370 881 ₽;Санкт-Петербург;р-н Красногвардейский;Большая Охта;м. Новочеркасская;Партизанская улица, 3В;55,7;3;12;2;https://spb.cian.ru/sale/flat/318135248/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 800 000 ₽;Санкт-Петербург;р-н Красносельский;Сосновая поляна;м. Юго-Западная;проспект Ветеранов, 169к6;27;3;10;Студия;https://spb.cian.ru/sale/flat/316087078/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
29 999 005 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Спортивная;проспект Большой Петроградской стороны, 4;191;5;7;6;https://spb.cian.ru/sale/flat/327167464/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
14 439 400 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;17 линия ЖК;36,05;2;10;1;https://spb.cian.ru/sale/flat/323388193/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
11 481 300 ₽;Санкт-Петербург;р-н Приморский;Лахта-Ольгино;м. Беговая;Лахта тер., улица Новая, 51к16;64,7;2;4;1;https://spb.cian.ru/sale/flat/319417272/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 100 000 ₽;Санкт-Петербург;р-н Красногвардейский;Большая Охта;м. Ладожская;Магнитогорская улица, 67;30,3;3;4;1;https://spb.cian.ru/sale/flat/326935858/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
10 898 734 ₽;Санкт-Петербург;р-н Невский;№ 54;м. Улица Дыбенко;;38,5;3;18;1;https://spb.cian.ru/sale/flat/318140062/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 400 000 ₽;Санкт-Петербург;р-н Калининский;Гражданка;м. Академическая;Северный проспект, 89К2;45,59;5;5;2;https://spb.cian.ru/sale/flat/322764773/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
